id,nutrient_name,symbol,element_type,plant_content_range,functions,deficiency_name,deficiency_visual_signs,affected_leaves,deficiency_crop_specific,toxicity_symptoms,toxicity_threshold,forms_in_soil,mobility_in_plant,optimal_soil_ph,fertilizer_sources,critical_crops,created_at
1,Carbon,C,Non-mineral macronutrient,,"[""Primary component of all organic molecules"", ""Photosynthesis (CO2 fixation)"", ""Structural component of plant body""]",Carbon Deficiency,None (CO2 naturally available),,{},,Beneficial up to 1200ppm in controlled environments,"""CO2 in soil air and water""",Highly mobile,,"[""CO2 enrichment in greenhouses""]",All crops,2026-06-26 15:48:13.610963
2,Hydrogen,H,Non-mineral macronutrient,,"[""Component of all organic molecules"", ""Water transport"", ""pH regulation in cells""]",Hydrogen Deficiency,"Wilting, leaf roll",,{},,Flooding conditions,"""H2O""",High,,"[""Irrigation water""]",All crops,2026-06-26 15:48:13.610968
3,Oxygen,O,Non-mineral macronutrient,,"[""Aerobic respiration"", ""Component of all organic molecules"", ""Root aeration""]",Oxygen Deficiency,"Yellow leaves, root browning, sulfide smell",,{},,Not applicable,"""O2 in soil air""",High,,"[""Drainage improvement"", ""Raised beds""]","All crops, especially in waterlogged areas",2026-06-26 15:48:13.610969
4,Nitrogen,N,Primary Macronutrient,1.5-4% dry weight,"[""Component of amino acids, proteins, enzymes"", ""Chlorophyll synthesis (green color)"", ""Nucleic acid component (DNA, RNA)"", ""Promotes vegetative growth"", ""Enzyme activation""]",Nitrogen Deficiency (Chlorosis),Pale yellow-green color starting from older leaves (lower); progresses upward; stunted growth; thin spindly stems; early maturity,"Older/Lower leaves first (N is mobile, remobilized to young leaves)","{""rice"": ""Pale yellow older leaves; reduced tillering; small, thin panicles"", ""maize"": ""Yellow stripe from tip of leaves (\""nitrogen streak\""), lower leaves yellow-brown"", ""wheat"": ""Pale green plants, purple tinting in some varieties, thin tillers"", ""tomato"": ""Light green plants, light purple tinting on stems""}","Dark green, lodging, delayed maturity, reduced grain quality, excessive vegetative growth, hollow stems",Varies widely by crop; depends on N form (ammonium vs nitrate),"[""Nitrate (NO3-) \u2014 mobile, leaches"", ""Ammonium (NH4+) \u2014 adsorbed on soil, less mobile"", ""Organic N \u2014 must mineralize first""]",Highly mobile — remobilized from old to young leaves,6.0-7.0 (best mineralization),"[""Urea (46% N) \u2014 most common"", ""Ammonium Nitrate (34% N)"", ""Ammonium Sulphate (21% N, 24% S)"", ""Calcium Ammonium Nitrate (25% N)"", ""DAP (18% N, 46% P2O5)"", ""Legume green manure (biological fixation)"", ""FYM (0.5-1.5% N)""]","Rice, Wheat, Maize, Vegetables, Cotton",2026-06-26 15:48:13.610969
5,Phosphorus,P,Primary Macronutrient,0.1-0.5% dry weight,"[""Root development and growth"", ""Energy transfer (ATP, ADP)"", ""Nucleic acid component (DNA, RNA)"", ""Cell membrane phospholipids"", ""Early plant establishment and tillering"", ""Seed and fruit development""]",Phosphorus Deficiency (Purpling),"Dark green to purple/red color on older leaves and stems (anthocyanin accumulation); thin, weak roots; delayed maturity; small seeds",Older leaves first (P is mobile),"{""maize"": ""Purple/red color on underside of leaves and stems \u2014 classic P deficiency sign"", ""tomato"": ""Purple undersides of leaves, bluish-green color, thin stems"", ""wheat"": ""Dark green to bluish, purple tinges, delayed maturity"", ""rice"": ""Thin, upright dark green or purple tinged leaves; reduced tillering""}",Zinc and iron deficiency symptoms (P-induced micronutrient deficiency); stunted growth when soil P very high,Soil Olsen P > 40ppm can induce Zn deficiency in some crops,"[""Orthophosphate ions (H2PO4-, HPO42-) \u2014 plant-available"", ""Organic P \u2014 must mineralize"", ""Fixed P (Al, Fe, Ca phosphates) \u2014 unavailable""]",Mobile — remobilized from old to young tissue,6.0-7.0,"[""DAP \u2014 Diammonium Phosphate (46% P2O5, 18% N)"", ""SSP \u2014 Single Super Phosphate (16% P2O5, 11% S, 20% Ca)"", ""TSP \u2014 Triple Super Phosphate (46% P2O5)"", ""Rock Phosphate (28-35% P2O5) \u2014 slow release in acid soils"", ""Ammonium Polyphosphate"", ""Bone meal (20-25% P2O5)""]","All crops; especially legumes, root crops, cereals",2026-06-26 15:48:13.610970
6,Potassium,K,Primary Macronutrient,1-4% dry weight,"[""Stomatal regulation (drought resistance)"", ""Enzyme activation (>60 enzymes)"", ""Protein synthesis"", ""Disease resistance and strong cell walls"", ""Transport of sugars and nutrients in phloem"", ""Quality improvement (sugar content, fruit firmness, starch)""]",Potassium Deficiency (Potash Starvation),Brown scorching and curling of leaf tips and margins (leaf scorch/marginal necrosis) starting on older leaves; brown spots inside leaf margin; weak stems; lodging in cereals,Older/Lower leaves first (K is mobile),"{""potato"": ""Marginal necrosis on older leaves; small irregular tubers; reduced specific gravity"", ""banana"": ""Marginal leaf scorch, orange-yellow margins; bent leaf midribs; reduced bunch weight"", ""tomato"": ""Marginal leaf burn, blossom end rot aggravated; poor fruit color"", ""rice"": ""Brown spots on older leaves from tip, leaves with rusty-dark brown margins""}",Calcium and magnesium deficiency symptoms (K antagonism); salt effects in sandy soils,Soil K > 800 ppm can cause Mg deficiency in some crops,"[""Exchangeable K (plant-available)"", ""Non-exchangeable K (in minerals \u2014 slowly available)"", ""Solution K (immediately available, small pool)""]",Highly mobile,6.0-7.5,"[""Muriate of Potash / MOP (60% K2O) \u2014 most common"", ""Sulphate of Potash / SOP (50% K2O, 18% S) \u2014 premium for Cl-sensitive crops"", ""Potassium Nitrate (44% K2O, 13% N) \u2014 for fertigation"", ""Potassium Chloride (KCl)"", ""Wood ash (5-10% K2O) \u2014 organic source""]","Potato, Banana, Sugarcane, Tobacco, Cotton, Tomato",2026-06-26 15:48:13.610970
7,Calcium,Ca,Secondary Macronutrient,0.1-2% dry weight,"[""Cell wall structure (calcium pectate in middle lamella)"", ""Cell membrane integrity"", ""Signal transduction"", ""Enzyme activation"", ""Root tip and young leaf development""]",Calcium Deficiency,"Affects only new/young leaves and growing points (Ca is immobile); tip burn (leaf tips die), blossom end rot in tomato/pepper, bitter pit in apple, tip burn in lettuce and cabbage, hollow heart in brassica",Young/new leaves and growing points (Ca is IMMOBILE — not remobilized),"{""tomato"": ""Blossom End Rot (BER) \u2014 dark leathery patch at fruit base"", ""apple"": ""Bitter pit \u2014 dark depressions/spots in flesh, internal browning"", ""lettuce"": ""Tip burn \u2014 marginal leaf necrosis"", ""potato"": ""Internal brown rust \u2014 discolored vascular tissue"", ""celery"": ""Blackheart \u2014 inner leaf death""}","Rare; reduces Mg, K, Zn uptake at very high Ca",pH > 8.0 with high Ca,"[""Exchangeable Ca (most important)"", ""Solution Ca"", ""Mineral Ca (calcite, etc.)""]",Immobile — does not move from old to young tissue,6.0-7.5 (Ca naturally adequate at these levels),"[""Agricultural Lime CaCO3 (36-40% Ca) \u2014 pH correction"", ""Dolomitic Lime \u2014 CaMg(CO3)2 \u2014 provides Ca + Mg"", ""Gypsum CaSO4 (23% Ca, 18% S) \u2014 for sodic soils; doesn't raise pH"", ""Calcium Nitrate (19% Ca, 15.5% N) \u2014 for fertigation"", ""SSP (20% Ca, 16% P2O5)""]","Tomato, Pepper, Apple, Celery, Lettuce, Brassicas",2026-06-26 15:48:13.610970
8,Magnesium,Mg,Secondary Macronutrient,0.05-0.5% dry weight,"[""Central atom of chlorophyll molecule"", ""Enzyme activation (100+ enzymes)"", ""Phosphate transport within plant"", ""Sugar and protein synthesis"", ""Activates photosynthesis""]",Magnesium Deficiency (Interveinal Chlorosis),"Interveinal chlorosis on older leaves — yellowing between the veins while veins remain green; often starts as pale green, then yellow, then reddish-purple margins; leaves may curl upward",Older/Lower leaves first (Mg is mobile),"{""apple"": ""Interveinal scorching of older leaves; premature defoliation"", ""maize"": ""Yellow/white stripes on older leaves, especially mid-rib area"", ""tomato"": ""Interveinal yellowing; older leaves affected; inside dark stripe on leaf"", ""sugarcane"": ""Yellow stripes on older leaves from tip to base""}",Rare outdoors; possible in greenhouse soils; reduces Ca uptake at very high Mg,,"[""Exchangeable Mg"", ""Solution Mg"", ""Mineral Mg (primary minerals)""]",Mobile,6.0-7.0,"[""Kieserite \u2014 Magnesium Sulphate (16% Mg, 22% S)"", ""Magnesium Sulphate (Epsom Salt) \u2014 (10% Mg) for foliar spray"", ""Dolomitic Lime \u2014 CaMg(CO3)2"", ""Magnesia (MgO)"", ""Langbeinite (K2Mg2(SO4)3)""]","Apple, Maize, Potato, Tomato, Grapes",2026-06-26 15:48:13.610971
9,Sulfur,S,Secondary Macronutrient,0.05-0.5% dry weight,"[""Component of amino acids (cysteine, methionine)"", ""Protein synthesis"", ""Enzyme cofactor"", ""Glucosinolate synthesis (brassicas)"", ""Chlorophyll synthesis support"", ""Flavor compounds in Alliums""]",Sulfur Deficiency,Interveinal chlorosis of YOUNG/NEW leaves (unlike Mg which affects old leaves) — pale yellow-green color of new leaves while old leaves remain green; stunted growth,Young/New leaves first (S is relatively immobile),"{""brassica"": ""Cupping of leaves; pale yellow-green new leaves; reduced glucosinolate content"", ""onion"": ""Pale yellow-green young leaves; reduced pungency"", ""mustard"": ""Interveinal chlorosis of younger leaves"", ""oilpalm"": ""Chlorosis of leaflets; reduced yield""}",Sulfur toxicity rare in soils; atmospheric SO2 damage shows as leaf spots and margin burn,,"[""Sulphate ion SO42- (plant-available)"", ""Organic S (must mineralize)"", ""Pyritic S (in waterlogged soils)""]",Moderately mobile,6.0-7.5,"[""Ammonium Sulphate (24% S, 21% N)"", ""SSP (11% S)"", ""Kieserite (22% S, 16% Mg)"", ""Sulphate of Potash (18% S, 50% K2O)"", ""Gypsum CaSO4 (18% S)"", ""Wettable Sulfur (90-98% S) \u2014 fungicide + nutrient"", ""Elemental Sulfur (90-100% S) \u2014 acidifier, slow release""]","Onion, Garlic, Mustard, Canola, Sunflower, Sugarcane",2026-06-26 15:48:13.610971
10,Iron,Fe,Micronutrient,50-300 ppm dry weight,"[""Chlorophyll synthesis (not structural)"", ""Electron carrier in photosynthesis and respiration"", ""Enzyme cofactor (catalase, peroxidase)"", ""Nitrogen fixation in legumes"", ""Nitrate reduction""]",Iron Chlorosis (Lime-induced Chlorosis),Interveinal chlorosis on YOUNG leaves — bright yellow leaves with dark green veins; in severe cases entire leaf turns yellow then white; known as 'lime-induced chlorosis' on calcareous soils,Young/New leaves first (Fe is immobile),"{""soybean"": ""Interveinal yellowing of new trifoliates; 'iron deficiency chlorosis (IDC)'"", ""groundnut"": ""Young leaf chlorosis in calcareous soils"", ""citrus"": ""Young leaf pale yellow with green veins \u2014 classic sign"", ""rice"": ""Iron toxicity (not deficiency) is common in acid waterlogged soils: bronzing of leaves""}",In waterlogged rice soils: bronze-brown speckling of leaf surface starting from tips; 'bronzing'; roots become brown and rotten; Reduced tillering,Fe > 300 ppm in plant tissue,"[""Fe3+ (oxidized \u2014 insoluble in high pH soils)"", ""Fe2+ (reduced \u2014 soluble in waterlogged conditions)"", ""Fe chelates in organic matter""]",Immobile,5.5-6.5 (best Fe availability),"[""FeSO4 (Iron Sulphate) \u2014 soil application 25-50 kg/ha"", ""Fe-EDTA, Fe-DTPA, Fe-EDDHA \u2014 chelated iron (most effective, especially at high pH)"", ""Fe-EDDHA \u2014 most stable in high pH soils (most expensive)"", ""Foliar spray: FeSO4 0.5-1% (5-10g/L)""]","Soybean, Groundnut, Citrus, Grapes, Sorghum (in calcareous soils)",2026-06-26 15:48:13.610971
