id,document_type,title,content,source_module,plant_name,tags,tfidf_vector,created_at,updated_at
1,disease,Early Blight in Tomato,"Disease: Early Blight
Pathogen: Alternaria solani
Type: Fungal
Affected Plant: Tomato
Host Range: Tomato, Potato, Eggplant
Symptoms: Small, dark brown circular spots with concentric rings (target board pattern) on older lower leaves. Leaf yellowing, premature leaf drop, dark sunken lesions at stem-ends of fruit, stem collar rot
Treatment: Neem oil (4ml/L + 2ml soap), Copper oxychloride 50% WP (3g/L), Trichoderma harzianum soil drench, Baking soda spray (5g/L). Mancozeb 75% WP (2g/L), Azoxystrobin 23% SC (1ml/L), Chlorothalonil 75% WP (2g/L), Propiconazole 25% EC (1ml/L)
Prevention: Use certified disease-free seeds, crop rotation (3 years), remove infected debris, avoid overhead irrigation, stake plants for air circulation",diseases_db,Tomato,"Fungal,Tomato,Alternaria solani",,2026-06-26 15:47:47.241455,2026-06-26 15:47:47.241456
2,disease,Late Blight in Tomato,"Disease: Late Blight
Pathogen: Phytophthora infestans
Type: Oomycete
Affected Plant: Tomato
Host Range: Tomato, Potato
Symptoms: Water-soaked irregular grayish-green patches on leaves, usually starting from leaf tips and edges. Fuzzy white sporulating lesions on underside of leaves in humid conditions, greasy dark green-black patches on fruit, entire plant collapse with putrid smell
Treatment: Copper hydroxide (3g/L) as protective spray, Bordeaux mixture (1%), maintain dry conditions. Metalaxyl-M + Mancozeb (Ridomil Gold) 2.5g/L, Cymoxanil + Famoxadone 0.5g/L, Dimethomorph 0.5g/L
Prevention: Plant resistant varieties, ensure good drainage, avoid overhead irrigation, scout regularly during cool wet weather, destroy volunteer plants",diseases_db,Tomato,"Oomycete,Tomato,Phytophthora infestans",,2026-06-26 15:47:47.241456,2026-06-26 15:47:47.241457
3,disease,Tomato Yellow Leaf Curl Virus (TYLCV) in Tomato,"Disease: Tomato Yellow Leaf Curl Virus (TYLCV)
Pathogen: Tomato yellow leaf curl virus
Type: Viral
Affected Plant: Tomato
Host Range: Tomato, Pepper, Bean, Eggplant
Symptoms: Upward and inward curling of leaflets, yellowing at leaf margins. Severe stunting, complete yellowing, flower drop, no fruit set or deformed fruits
Treatment: No cure once infected; control whitefly vector with neem oil, yellow sticky traps, reflective mulch. Imidacloprid or Thiamethoxam for whitefly control. Mineral oil sprays to reduce whitefly transmission
Prevention: Plant TYLCV-resistant varieties, use insect-proof netting in nursery, roguing infected plants immediately, control whiteflies",diseases_db,Tomato,"Viral,Tomato,Tomato yellow leaf curl virus",,2026-06-26 15:47:47.241457,2026-06-26 15:47:47.241457
4,disease,Fusarium Wilt in Tomato,"Disease: Fusarium Wilt
Pathogen: Fusarium oxysporum f. sp. lycopersici
Type: Fungal
Affected Plant: Tomato
Host Range: Tomato (host-specific)
Symptoms: Yellowing and wilting of lower leaves starting on one side of the plant, often one branch first. Complete wilting and death, brown internal vascular discoloration visible when stem is cut crosswise
Treatment: Trichoderma harzianum soil treatment, Solarization (clear polyethylene film over moist soil for 4-6 weeks). No effective chemical cure; soil fumigation with Metam sodium before planting as preventive
Prevention: Plant resistant varieties (race-specific), crop rotation (4+ years), avoid wounding roots, soil solarization",diseases_db,Tomato,"Fungal,Tomato,Fusarium oxysporum f. sp. lycopersici",,2026-06-26 15:47:47.241458,2026-06-26 15:47:47.241458
5,disease,Bacterial Wilt in Tomato,"Disease: Bacterial Wilt
Pathogen: Ralstonia solanacearum
Type: Bacterial
Affected Plant: Tomato
Host Range: Tomato, Potato, Pepper, Eggplant, Banana, Tobacco, Ginger
Symptoms: Sudden wilting of top leaves during hottest part of the day, recovery at night. Permanent wilting even at night, water-soaked stem interior, oozing of bacterial slime (white to gray) from cut stems dipped in water
Treatment: No effective cure. Copper-based bactericides as weak suppressants. No effective chemical treatment available
Prevention: Plant resistant varieties, crop rotation (minimum 3 years), soil solarization, avoid waterlogging, remove infected plants and soil, use clean tools",diseases_db,Tomato,"Bacterial,Tomato,Ralstonia solanacearum",,2026-06-26 15:47:47.241458,2026-06-26 15:47:47.241459
6,disease,Septoria Leaf Spot in Tomato,"Disease: Septoria Leaf Spot
Pathogen: Septoria lycopersici
Type: Fungal
Affected Plant: Tomato
Host Range: Tomato, Potato (limited)
Symptoms: Small, circular water-soaked spots on lower leaves with dark brown margins and lighter gray-white centers with tiny black dots (pycnidia). Extensive defoliation starting from bottom of plant upward, sun-scalded fruits exposed to direct sun
Treatment: Copper oxychloride 50% WP (3g/L), neem oil spray, remove infected lower leaves. Chlorothalonil (2g/L), Mancozeb (2g/L), Azoxystrobin (0.5ml/L)
Prevention: Crop rotation, remove infected plant debris, avoid overhead irrigation, stake and prune for air circulation",diseases_db,Tomato,"Fungal,Tomato,Septoria lycopersici",,2026-06-26 15:47:47.241459,2026-06-26 15:47:47.241459
7,disease,Powdery Mildew (Tomato) in Tomato,"Disease: Powdery Mildew (Tomato)
Pathogen: Leveillula taurica
Type: Fungal
Affected Plant: Tomato
Host Range: Tomato, Pepper, Eggplant
Symptoms: Pale yellow spots on upper leaf surface, white powdery growth visible on underside. Entire leaf covered with white powder, premature defoliation
Treatment: Wettable sulfur (3g/L), potassium bicarbonate (5g/L), neem oil, diluted milk (1:9). Hexaconazole (1ml/L), Propiconazole (1ml/L), Tebuconazole (1ml/L)
Prevention: Good air circulation, avoid dense planting, resistant varieties",diseases_db,Tomato,"Fungal,Tomato,Leveillula taurica",,2026-06-26 15:47:47.241460,2026-06-26 15:47:47.241460
8,disease,Blossom End Rot in Tomato,"Disease: Blossom End Rot
Pathogen: Calcium deficiency (Physiological)
Type: Physiological Disorder
Affected Plant: Tomato
Host Range: Tomato, Pepper, Eggplant, Watermelon, Squash
Symptoms: Light brown water-soaked area at blossom end of green fruit. Expanding dark brown to black leathery sunken patch at fruit base, secondary fungal colonization
Treatment: Foliar calcium chloride spray (4g/L), consistent irrigation, mulching, agricultural lime in soil. Calcium nitrate foliar spray (2g/L), drip application of calcium chelate
Prevention: Consistent irrigation schedule, mulch to retain soil moisture, soil pH 6.2-6.8, avoid excess ammonium nitrogen",diseases_db,Tomato,"Physiological Disorder,Tomato,Calcium deficiency (Physiological)",,2026-06-26 15:47:47.241460,2026-06-26 15:47:47.241461
9,disease,Root Knot Nematode in Tomato,"Disease: Root Knot Nematode
Pathogen: Meloidogyne incognita, M. javanica
Type: Nematode
Affected Plant: Tomato
Host Range: Tomato, Pepper, Cucumber, Beans, and 2,000+ other plant species
Symptoms: Wilting during hot hours, poor plant vigor, chlorosis resembling nutrient deficiency. Typical galls (root knots) on roots when pulled, stunted growth, reduced yield
Treatment: Marigold intercropping (Tagetes sp.), neem cake soil application, Paecilomyces lilacinus, Pochonia chlamydosporia. Carbofuran 3G (33kg/ha soil application), Ethoprophos 10G granules, Oxamyl
Prevention: Crop rotation with non-host crops (maize, cereals), soil solarization, use resistant varieties (Mi-gene)",diseases_db,Tomato,"Nematode,Tomato,Meloidogyne incognita, M. javanica",,2026-06-26 15:47:47.241461,2026-06-26 15:47:47.241461
10,disease,Rice Blast in Rice,"Disease: Rice Blast
Pathogen: Pyricularia oryzae (Magnaporthe oryzae)
Type: Fungal
Affected Plant: Rice
Host Range: Rice, Barley, Wheat, Foxtail millet
Symptoms: Spindle-shaped (diamond) lesions on leaves with gray-white center and dark brown to reddish-brown margins. Neck rot: lesion at panicle neck causes the head to break and hang down (Neck Blast). Grain blast: empty chaffy grains. Node blast: dark lesions at stem nodes.
Treatment: Spray Pseudomonas fluorescens (1% w/v), seed treatment with Trichoderma, avoid excess nitrogen. Tricyclazole 75% WP (0.6g/L), Isoprothiolane 40% EC (1.5ml/L), Kasugamycin 3% SL (1.5ml/L), Azoxystrobin
Prevention: Use blast-resistant varieties (BPT 5204, Swarna Sub1), balanced N fertilization, wider spacing for air circulation, destroy stubble",diseases_db,Rice,"Fungal,Rice,Pyricularia oryzae (Magnaporthe oryzae)",,2026-06-26 15:47:47.241461,2026-06-26 15:47:47.241462
