id,disease_name,pathogen_name,disease_type,affected_plant,host_range,risk_level,economic_impact,geographic_distribution,favorable_conditions,early_symptoms,late_symptoms,affected_parts,disease_cycle,incubation_period,organic_treatment,chemical_treatment,biological_treatment,preventive_measures,application_frequency,recovery_time,phi_days,created_at
1,Early Blight,Alternaria solani,Fungal,Tomato,"Tomato, Potato, Eggplant",Medium,Reduces yield by 30-50% in warm humid conditions. Major yield loss in unmanaged fields.,Worldwide,"Warm temperatures (24-29°C), High humidity (>90%), Wet foliage","Small, dark brown circular spots with concentric rings (target board pattern) on older lower leaves","Leaf yellowing, premature leaf drop, dark sunken lesions at stem-ends of fruit, stem collar rot","Leaves, Stem, Fruit",Overwinters in infected plant debris. Conidia spread by wind and rain splash. Infection requires 2-3 hours of wet leaf surface.,2-3 days,"Neem oil (4ml/L + 2ml soap), Copper oxychloride 50% WP (3g/L), Trichoderma harzianum soil drench, Baking soda spray (5g/L)","Mancozeb 75% WP (2g/L), Azoxystrobin 23% SC (1ml/L), Chlorothalonil 75% WP (2g/L), Propiconazole 25% EC (1ml/L)","Trichoderma viride, Bacillus subtilis strains QST713, Pseudomonas fluorescens","Use certified disease-free seeds, crop rotation (3 years), remove infected debris, avoid overhead irrigation, stake plants for air circulation",Every 7-10 days in wet weather,10-14 days with treatment,7,2026-06-26 15:47:47.240657
2,Late Blight,Phytophthora infestans,Oomycete,Tomato,"Tomato, Potato",Critical,Can destroy entire field in 5-7 days. Caused the Irish Potato Famine (1845-49).,"Worldwide, especially cool humid climates","Cool temperature (10-20°C), High humidity (>90%), Rain, dew","Water-soaked irregular grayish-green patches on leaves, usually starting from leaf tips and edges","Fuzzy white sporulating lesions on underside of leaves in humid conditions, greasy dark green-black patches on fruit, entire plant collapse with putrid smell","Leaves, Stems, Fruit",Sporangia spread by wind and rain. Sexual oospores persist in soil. Highly explosive under wet cool conditions.,3-5 days,"Copper hydroxide (3g/L) as protective spray, Bordeaux mixture (1%), maintain dry conditions","Metalaxyl-M + Mancozeb (Ridomil Gold) 2.5g/L, Cymoxanil + Famoxadone 0.5g/L, Dimethomorph 0.5g/L","Bacillus subtilis (Serenade), Streptomyces lydicus","Plant resistant varieties, ensure good drainage, avoid overhead irrigation, scout regularly during cool wet weather, destroy volunteer plants",Every 5-7 days during epidemic periods,7-10 days (preventive focus; infected plants rarely recover),7,2026-06-26 15:47:47.240663
3,Tomato Yellow Leaf Curl Virus (TYLCV),Tomato yellow leaf curl virus,Viral,Tomato,"Tomato, Pepper, Bean, Eggplant",High,Can cause 100% yield loss in unmanaged greenhouses. Major problem in warm regions.,"Mediterranean, Middle East, South Asia, Americas, Sub-Saharan Africa","High whitefly populations, temperatures above 25°C","Upward and inward curling of leaflets, yellowing at leaf margins","Severe stunting, complete yellowing, flower drop, no fruit set or deformed fruits","Leaves, Growing Tips, Fruit",Transmitted by whitefly (Bemisia tabaci) in a persistent circulative manner. No seed transmission.,14-21 days,"No cure once infected; control whitefly vector with neem oil, yellow sticky traps, reflective mulch",Imidacloprid or Thiamethoxam for whitefly control. Mineral oil sprays to reduce whitefly transmission,"Encarsia formosa parasitoid, Beauveria bassiana for whiteflies","Plant TYLCV-resistant varieties, use insect-proof netting in nursery, roguing infected plants immediately, control whiteflies",Whitefly control every 7-10 days,No recovery; remove infected plants,,2026-06-26 15:47:47.240664
4,Fusarium Wilt,Fusarium oxysporum f. sp. lycopersici,Fungal,Tomato,Tomato (host-specific),High,"Major cause of tomato field losses, especially in sandy soils.",Worldwide,"Warm soils (25-30°C), light sandy soils, acid soils","Yellowing and wilting of lower leaves starting on one side of the plant, often one branch first","Complete wilting and death, brown internal vascular discoloration visible when stem is cut crosswise","Roots, Stem (vascular), Leaves","Soil-borne pathogen. Survives for years in soil as chlamydospores. Enters through roots, grows in xylem blocking water flow.",7-14 days,"Trichoderma harzianum soil treatment, Solarization (clear polyethylene film over moist soil for 4-6 weeks)",No effective chemical cure; soil fumigation with Metam sodium before planting as preventive,"Trichoderma viride, Pseudomonas fluorescens root dip, Bacillus subtilis","Plant resistant varieties (race-specific), crop rotation (4+ years), avoid wounding roots, soil solarization",Soil treatments at planting,No recovery; remove infected plants,,2026-06-26 15:47:47.240664
5,Bacterial Wilt,Ralstonia solanacearum,Bacterial,Tomato,"Tomato, Potato, Pepper, Eggplant, Banana, Tobacco, Ginger",Critical,One of the most destructive soilborne diseases worldwide; can destroy entire plantations.,"Tropical, subtropical, warm temperate regions worldwide","High temperatures (28-35°C), high soil moisture, damaged roots","Sudden wilting of top leaves during hottest part of the day, recovery at night","Permanent wilting even at night, water-soaked stem interior, oozing of bacterial slime (white to gray) from cut stems dipped in water","Entire plant, Vascular system","Spreads through soil, water, infected plant material. Enters through roots. Multiplies in xylem.",3-7 days,No effective cure. Copper-based bactericides as weak suppressants,No effective chemical treatment available,Bacillus subtilis and Pseudomonas fluorescens as biological suppressants (preventive only),"Plant resistant varieties, crop rotation (minimum 3 years), soil solarization, avoid waterlogging, remove infected plants and soil, use clean tools",Preventive only,No recovery; remove infected plants immediately,,2026-06-26 15:47:47.240664
6,Septoria Leaf Spot,Septoria lycopersici,Fungal,Tomato,"Tomato, Potato (limited)",Medium,"Severe defoliation, reduces photosynthesis, leads to sunscald on fruit. Up to 40% yield loss.","Worldwide, common in humid temperate regions","Wet weather, temperatures 20-25°C, leaf wetness > 4 hours","Small, circular water-soaked spots on lower leaves with dark brown margins and lighter gray-white centers with tiny black dots (pycnidia)","Extensive defoliation starting from bottom of plant upward, sun-scalded fruits exposed to direct sun",Leaves (lower first),Overwinters in infected debris. Conidia splash-spread by rain. Infection requires wet leaf surface.,5 days,"Copper oxychloride 50% WP (3g/L), neem oil spray, remove infected lower leaves","Chlorothalonil (2g/L), Mancozeb (2g/L), Azoxystrobin (0.5ml/L)",Bacillus subtilis,"Crop rotation, remove infected plant debris, avoid overhead irrigation, stake and prune for air circulation",Every 10-14 days,14-21 days,7,2026-06-26 15:47:47.240665
7,Powdery Mildew (Tomato),Leveillula taurica,Fungal,Tomato,"Tomato, Pepper, Eggplant",Low,Reduces yield by 10-20% through photosynthesis reduction,"Dry, warm regions worldwide","Low humidity (50-70%), temperatures 18-28°C, common in greenhouses","Pale yellow spots on upper leaf surface, white powdery growth visible on underside","Entire leaf covered with white powder, premature defoliation",Leaves,Obligate parasite; spreads by airborne conidia. Internal mycelium attacks from inside leaf.,5-7 days,"Wettable sulfur (3g/L), potassium bicarbonate (5g/L), neem oil, diluted milk (1:9)","Hexaconazole (1ml/L), Propiconazole (1ml/L), Tebuconazole (1ml/L)","Ampelomyces quisqualis, Bacillus subtilis","Good air circulation, avoid dense planting, resistant varieties",Every 7-10 days,7-14 days,14,2026-06-26 15:47:47.240665
8,Blossom End Rot,Calcium deficiency (Physiological),Physiological Disorder,Tomato,"Tomato, Pepper, Eggplant, Watermelon, Squash",Medium,Can render 25-50% of fruits unmarketable during severe calcium stress.,Worldwide,"Irregular watering, drought stress, soil pH imbalance, excess nitrogen or potassium",Light brown water-soaked area at blossom end of green fruit,"Expanding dark brown to black leathery sunken patch at fruit base, secondary fungal colonization",Fruit (blossom end),Not infectious; caused by calcium translocation failure due to irregular water stress.,Appears 6-8 weeks after planting,"Foliar calcium chloride spray (4g/L), consistent irrigation, mulching, agricultural lime in soil","Calcium nitrate foliar spray (2g/L), drip application of calcium chelate",Not applicable,"Consistent irrigation schedule, mulch to retain soil moisture, soil pH 6.2-6.8, avoid excess ammonium nitrogen",Calcium spray every 7-10 days when fruits are forming,Affected fruits do not recover; new fruits will be healthy with correction,,2026-06-26 15:47:47.240666
9,Root Knot Nematode,"Meloidogyne incognita, M. javanica",Nematode,Tomato,"Tomato, Pepper, Cucumber, Beans, and 2,000+ other plant species",High,Up to 80% yield loss in heavily infested sandy soils.,Tropical and subtropical regions worldwide,"Sandy soils, temperatures 25-30°C, high soil moisture","Wilting during hot hours, poor plant vigor, chlorosis resembling nutrient deficiency","Typical galls (root knots) on roots when pulled, stunted growth, reduced yield",Roots,"Females lay eggs in soil. Juveniles penetrate roots, induce gall formation. Multiple generations per season.",21-30 days to complete one generation,"Marigold intercropping (Tagetes sp.), neem cake soil application, Paecilomyces lilacinus, Pochonia chlamydosporia","Carbofuran 3G (33kg/ha soil application), Ethoprophos 10G granules, Oxamyl","Purpureocillium lilacinum, Trichoderma harzianum, Bacillus firmus","Crop rotation with non-host crops (maize, cereals), soil solarization, use resistant varieties (Mi-gene)",Soil treatment at planting and 30 DAS,Suppression over 1-2 seasons,60,2026-06-26 15:47:47.240666
10,Rice Blast,Pyricularia oryzae (Magnaporthe oryzae),Fungal,Rice,"Rice, Barley, Wheat, Foxtail millet",Critical,Most destructive rice disease globally. Causes 10-30% annual losses; can cause up to 100% loss.,85+ countries globally,"Night temperatures 17-22°C, leaf wetness > 10 hours, high humidity, excess nitrogen",Spindle-shaped (diamond) lesions on leaves with gray-white center and dark brown to reddish-brown margins,Neck rot: lesion at panicle neck causes the head to break and hang down (Neck Blast). Grain blast: empty chaffy grains. Node blast: dark lesions at stem nodes.,"Leaves, Nodes, Panicle Neck, Grains","Conidia spread by wind; infection requires 10+ hours leaf wetness. Overwinters in infected debris, volunteer rice, and alternate hosts.",4-5 days at 25°C,"Spray Pseudomonas fluorescens (1% w/v), seed treatment with Trichoderma, avoid excess nitrogen","Tricyclazole 75% WP (0.6g/L), Isoprothiolane 40% EC (1.5ml/L), Kasugamycin 3% SL (1.5ml/L), Azoxystrobin","Pseudomonas fluorescens, Bacillus subtilis, Trichoderma harzianum","Use blast-resistant varieties (BPT 5204, Swarna Sub1), balanced N fertilization, wider spacing for air circulation, destroy stubble",At tillering and booting stages; repeat at 10-14 day intervals if disease pressure continues,12-15 days with systemic fungicide,14,2026-06-26 15:47:47.240666
11,Bacterial Leaf Blight (BLB),Xanthomonas oryzae pv. oryzae,Bacterial,Rice,"Rice (primary), wild Oryza species",High,Causes 20-30% yield loss in susceptible varieties; up to 70% in severe epidemics.,"Asia, West Africa, Australia","High temperature (25-34°C), high humidity, wind, flooding, heavy nitrogen fertilization","Water-soaked to yellowish stripes along leaf margins, turning white to grayish, 'Kresek' phase in young seedlings (complete wilting)","Milky, opaque bacterial exudate (dried beads) visible in morning on leaf tips, pale yellow 'straw' leaves, withered diseased panicles","Leaves, growing tips","Enters through water pores (hydathodes) and wounds. Spread by rain splash, floodwater, and wind. Overwinters in infected stubble and wild rice.",7-14 days,Drain fields; copper hydroxide (2g/L) as weak bactericide spray,Streptomycin + Tetracycline combination (limited effectiveness); Copper oxychloride preventively,Pseudomonas fluorescens (preventive soil and foliar treatment),"Plant resistant varieties (IR64, Swarna), avoid excessive nitrogen, drain infected fields, destroy stubble",Copper sprays every 10 days in high-risk periods,Suppression; no cure for infected plants,,2026-06-26 15:47:47.240667
12,Sheath Blight,Rhizoctonia solani AG1-IA,Fungal,Rice,"Rice, Maize, Soybean, Sugarcane, and many other crops",High,Second most important rice disease after blast. Causes 20-50% yield loss in high-density plantings.,"Worldwide, especially tropical Asia","High humidity, temperatures 28-32°C, dense canopy, high nitrogen, standing water",Oval to elliptical greenish-gray lesions with white-gray interior and brownish border on leaf sheaths at water level,"Lesions coalesce and extend to upper leaves, white mycelial growth and brown sclerotia visible, complete sheath and leaf death","Leaf sheaths (primarily), Leaves, Stem",Survives as sclerotia in soil and crop debris. Sclerotia float to base of plants and initiate infection. Spreads upward under humid conditions.,3-4 days,"Trichoderma harzianum or T. viride soil application (2.5 kg/ha), Pseudomonas fluorescens spray","Hexaconazole 5% EC (1ml/L), Propiconazole 25% EC (1ml/L), Validamycin 3% L (2ml/L), Carbendazim (1g/L)","Trichoderma harzianum, Bacillus subtilis","Reduce plant density, lower nitrogen, drain standing water, use resistant varieties","At tillering, repeat at 10-14 day intervals in humid conditions",14-21 days,14,2026-06-26 15:47:47.240667
13,Brown Spot,Helminthosporium oryzae (Bipolaris oryzae),Fungal,Rice,"Rice, Corn, Sorghum, Sugarcane",Medium,Contributed to Great Bengal Famine (1943). Causes 5-45% yield loss.,"Worldwide, worse in nutrient-deficient soils","Temperatures 25-30°C, high humidity, nutrient-deficient (especially potassium) soils","Small, oval to circular spots on leaves with yellow halo; dark brown margins and lighter centers","Spots enlarge to typical oval brown spots, leaves yellow and die; glume discoloration leading to pecky rice","Leaves, Grain (glumes)",Seed-borne; spreads by conidia through wind and rain. Survives in infected seeds and crop debris.,5-6 days,"Trichoderma seed treatment, adequate potassium nutrition","Mancozeb 75% WP (2g/L), Propiconazole 25% EC (1ml/L), Iprodione (1.5g/L)",Trichoderma viride seed treatment,"Treat seeds with fungicide, correct soil nutrition (especially K and Si), use certified seeds, crop rotation",2-3 sprays during crop season,10-14 days,14,2026-06-26 15:47:47.240667
14,False Smut,Ustilaginoidea virens,Fungal,Rice,Rice,Low,Reduces grain quality and weight by 2-15%. Produces toxic ustiloxins.,"All rice-growing areas, especially with high humidity at flowering","High humidity and rainfall during heading and flowering stage, temperatures 25-35°C",Individual spikelets converted to small velvet-like greenish balls,"Balls enlarge to 10mm diameter, becoming orange-yellow then olive-green with black powdery spores, scattered through panicle",Grain/Spikelets,Infection during flowering stage. Spores survive in soil and air. Spreads by wind.,"Infection at flowering, visible at maturity",Propiconazole-based sprays at booting stage,Propiconazole 25% EC (1ml/L) or Azoxystrobin at booting stage,No effective biological control,"Spray preventive fungicide at booting stage, avoid late planting, balanced nutrition",One spray at booting stage,Prevention only; affected grains cannot be treated,21,2026-06-26 15:47:47.240668
15,Stripe Rust (Yellow Rust),Puccinia striiformis f. sp. tritici,Fungal,Wheat,"Wheat, Barley, Triticale, wild grasses",High,Can cause 70% yield loss. Major rust affecting wheat in cool humid regions.,"Worldwide, especially in cooler regions","Cool temperatures (7-15°C), morning dew, high humidity",Stripe of yellow-orange uredia arranged in rows along leaf veins on upper leaf surface,"Extensive yellowing of leaves, black teliospores in stripes, reduced grain fill, shriveled kernels","Leaves, Leaf sheaths, Glumes",Obligate parasite; spreads by wind-borne urediniospores. Overwinters on living green tissue. Long-distance spread by wind.,9-10 days at optimal temperature,Wettable sulfur preventively; no effective organic cure,"Propiconazole 25% EC (1ml/L), Tebuconazole 250 EW (1ml/L), Azoxystrobin + Propiconazole",Limited; Trichoderma as preventive,"Plant resistant varieties (HD-3226, WH1105), timely sowing to escape high-risk period, prophylactic fungicide at flag leaf stage",One spray at flag leaf + repeat 14 days later if severe,10-14 days,21,2026-06-26 15:47:47.240668
16,Stem Rust (Black Rust),Puccinia graminis f. sp. tritici,Fungal,Wheat,"Wheat, Barley, Rye, many grasses",Critical,Ug99 race caused international alarm in 2000s; can cause near-total crop failure.,Worldwide,"Warm temperatures (18-30°C), high humidity, dew",Brick-red oval to elongated blisters (pustules) on stems and leaves that rupture releasing reddish-brown powdery spores,"Black teliospore pustules in late season, lodging of stems, shriveled grain","Stems, Leaves, Leaf sheaths, Glumes",Two-host cycle: Puccinia graminis requires barberry (Berberis sp.) as alternate host for sexual recombination. Urediniospores spread by wind.,8-14 days,Wettable sulfur; remove barberry bushes from fields,"Propiconazole 25% EC (1ml/L), Tebuconazole (1ml/L), at first sign of infection",No effective biological control for field use,"Rust-resistant varieties, eradicate barberry, prophylactic fungicide in Ug99-risk areas","At first sign, repeat after 14 days",10-14 days,21,2026-06-26 15:47:47.240668
17,Loose Smut,Ustilago tritici,Fungal,Wheat,Wheat,Medium,Causes 5-30% yield loss. Entire head is replaced by black smut mass.,Worldwide,"Cool moist conditions during flowering, moderate temperatures",Diseased plants emerge earlier; infected ear with black spore mass instead of grain,"Complete head replaced by black teliospore mass that disperses, leaving bare rachis",Ear/Panicle,Seed-borne; mycelium is dormant in seed embryo. Infection occurs at flowering. No external symptoms until next season.,Entire growing season (symptom appears at heading of next crop),Hot water seed treatment (52°C for 10 minutes),"Carboxin + Thiram seed treatment (2g/kg seed), Tebuconazole seed treatment",Trichoderma viride seed treatment,"Use certified smut-free seeds, systemic seed treatment fungicides, plant resistant varieties",Seed treatment before sowing,Not applicable (seed treatment prevents disease),,2026-06-26 15:47:47.240669
18,Powdery Mildew (Wheat),Blumeria graminis f. sp. tritici,Fungal,Wheat,Wheat (host-specific),Medium,Causes 5-40% yield loss in cool humid conditions.,"Worldwide, especially cool humid regions","Cool temperatures (15-22°C), moderate humidity, dense crop canopy",White fluffy powdery patches on upper leaf surface of lower leaves,"White-gray coating on all green parts, yellowing and drying of leaves, cleistothecia (black dots) visible in old patches","Leaves, Stems, Leaf sheaths",Obligate parasite; spreads by airborne conidia. Overwinters as cleistothecia on straw.,5-7 days,"Wettable sulfur (3g/L), potassium bicarbonate","Propiconazole 25% EC (1ml/L), Triadimefon 25% WP (1g/L), Azoxystrobin",Ampelomyces quisqualis,"Resistant varieties, avoid dense planting, balanced nitrogen, timely fungicide sprays","At first signs, repeat after 14 days",10-14 days,21,2026-06-26 15:47:47.240669
