id,kingdom,subkingdom,division,subdivision,class_name,subclass,order_name,family_name,subfamily,tribe,genus,species,common_name,botanical_name,author_citation,iucn_status,category,family_description,genera_species_count,created_at
1,Plantae,Viridaeplantae,Tracheophyta,Spermatophytina,Liliopsida,Commelinidae,Poales,Poaceae,Oryzoideae,,Oryza,sativa,Rice,Oryza sativa,L.,LC,Cereal,Grass family; cereals and grains - most economically important plant family,24,2026-06-26 15:47:47.232646
2,Plantae,Viridaeplantae,Tracheophyta,Spermatophytina,Liliopsida,Commelinidae,Poales,Poaceae,Pooideae,,Triticum,aestivum,Wheat,Triticum aestivum,L.,LC,Cereal,Grass family; cereals and grains - most economically important plant family,30,2026-06-26 15:47:47.232649
3,Plantae,Viridaeplantae,Tracheophyta,Spermatophytina,Liliopsida,Commelinidae,Poales,Poaceae,Panicoideae,,Zea,mays,Maize (Corn),Zea mays,L.,LC,Cereal,Grass family; cereals and grains - most economically important plant family,4,2026-06-26 15:47:47.232650
4,Plantae,Viridaeplantae,Tracheophyta,Spermatophytina,Liliopsida,Commelinidae,Poales,Poaceae,Pooideae,,Hordeum,vulgare,Barley,Hordeum vulgare,L.,LC,Cereal,Grass family; cereals and grains - most economically important plant family,32,2026-06-26 15:47:47.232650
5,Plantae,Viridaeplantae,Tracheophyta,Spermatophytina,Liliopsida,Commelinidae,Poales,Poaceae,Pooideae,,Avena,sativa,Oat,Avena sativa,L.,LC,Cereal,Grass family; cereals and grains - most economically important plant family,29,2026-06-26 15:47:47.232651
6,Plantae,Viridaeplantae,Tracheophyta,Spermatophytina,Liliopsida,Commelinidae,Poales,Poaceae,Panicoideae,,Sorghum,bicolor,Sorghum,Sorghum bicolor,(L.) Moench,LC,Cereal,Grass family; cereals and grains - most economically important plant family,31,2026-06-26 15:47:47.232651
7,Plantae,Viridaeplantae,Tracheophyta,Spermatophytina,Liliopsida,Commelinidae,Poales,Poaceae,Panicoideae,,Pennisetum,glaucum,Pearl Millet,Pennisetum glaucum,(L.) R.Br.,LC,Millet,Grass family; cereals and grains - most economically important plant family,140,2026-06-26 15:47:47.232651
8,Plantae,Viridaeplantae,Tracheophyta,Spermatophytina,Liliopsida,Commelinidae,Poales,Poaceae,Chloridoideae,,Eleusine,coracana,Finger Millet,Eleusine coracana,(L.) Gaertn.,LC,Millet,Grass family; cereals and grains - most economically important plant family,9,2026-06-26 15:47:47.232652
9,Plantae,Viridaeplantae,Tracheophyta,Spermatophytina,Liliopsida,Commelinidae,Poales,Poaceae,Panicoideae,,Setaria,italica,Foxtail Millet,Setaria italica,(L.) P.Beauv.,LC,Millet,Grass family; cereals and grains - most economically important plant family,140,2026-06-26 15:47:47.232652
10,Plantae,Viridaeplantae,Tracheophyta,Spermatophytina,Liliopsida,Commelinidae,Poales,Poaceae,Panicoideae,,Panicum,miliaceum,Proso Millet,Panicum miliaceum,L.,LC,Millet,Grass family; cereals and grains - most economically important plant family,450,2026-06-26 15:47:47.232652
11,Plantae,Viridaeplantae,Tracheophyta,Spermatophytina,Liliopsida,Commelinidae,Poales,Poaceae,Panicoideae,,Echinochloa,frumentacea,Barnyard Millet,Echinochloa frumentacea,Link,LC,Millet,Grass family; cereals and grains - most economically important plant family,50,2026-06-26 15:47:47.232653
